ï»¿POL_NO,CLAIMANT_COUNTRY_Anonymized,CLM_NO,Make,VEHICLE_MODEL,Policy From Year,Accident  Year,Body Type,SI Band,Claim Amount
Policy Number 7252,Country 092,Claim Number 14269,HYUNDAI,GENESIS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5366,Country 053,Claim Number 9822,CADILLAC,CT6,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5053,Country 053,Claim Number 9852,VOLVO,,2017,2017,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 14162,Country 062,Claim Number 25149,BMW,B.M.W.,2017,2017,1. Saloon, 150K to 200K ,"-1,000.00 "
Policy Number 7340,Country 091,Claim Number 14240,MINI,COOPER,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7284,Not Available,Claim Number 14266,GMC,SIERRA DENALI,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 8261,Country 090,Claim Number 15493,INFINITI,Q50,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7287,Country 145,Claim Number 14260,MERCEDES-BENZ,A250,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5560,Country 053,Claim Number 10254,JEEP,GRAND CHEROKEE,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7193,Country 124,Claim Number 14355,LEXUS,IS250,2017,2017,1. Saloon, 75K to 100K ,"-1,000.00 "
Policy Number 8183,Country 132,Claim Number 15541,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 5227,Country 095,Claim Number 10057,MERCEDES BENZ,V-Class,2017,2017,4. Buses, 200K to 250K ,"-1,000.00 "
Policy Number 5279,Country 091,Claim Number 10004,MASERATI,GHIBLI,2017,2017,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 7250,Country 092,Claim Number 14424,HYUNDAI,GENESIS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7250,Country 092,Claim Number 14425,HYUNDAI,GENESIS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7250,Country 092,Claim Number 14438,HYUNDAI,GENESIS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7250,Country 092,Claim Number 14439,HYUNDAI,GENESIS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7439,Country 117,Claim Number 14458,LEXUS,IS200T,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7250,Country 092,Claim Number 14423,HYUNDAI,GENESIS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 13407,Country 145,Claim Number 23310,CHEVROLET,TAHOE,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7403,Country 122,Claim Number 14487,INFINITI,Q70,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 14055,Country 056,Claim Number 24976,MERCEDES BENZ,S-CLASS,2017,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 5143,Country 053,Claim Number 10169,JAGUAR,XJ,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8245,Country 053,Claim Number 15614,LAND ROVER,ALERO,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5567,Country 008,Claim Number 10274,LAND ROVER,RANGE ROVER,2018,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 7878,Country 022,Claim Number 14571,LAND ROVER,RANGE ROVER EVOQUE,2018,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7332,Country 092,Claim Number 14640,INFINITI,Q50,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5262,Country 133,Claim Number 10314,LEXUS,ES350,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8261,Country 090,Claim Number 15686,INFINITI,Q50,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5150,Country 056,Claim Number 10350,LEXUS,GS 350,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5214,Country 053,Claim Number 10393,LEXUS,GX460,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7363,Country 053,Claim Number 14699,BMW,5 SERIES,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 14047,Country 091,Claim Number 25000,AUDI,A8,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 7344,Country 083,Claim Number 14582,NISSAN,X TRAIL,2017,2018,2. Four Wheel Drive, 75K to 100K ,"-1,000.00 "
Policy Number 5467,Country 091,Claim Number 10434,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5467,Country 091,Claim Number 10435,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5659,Country 053,Claim Number 10407,LEXUS,RX350,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5603,Country 053,Claim Number 10459,BMW,7 SERIES,2018,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 5369,Country 055,Claim Number 10499,BMW,4 SERIES,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 14074,Country 053,Claim Number 25006,NISSAN,PATROL,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8587,Country 137,Claim Number 15811,VOLKSWAGEN,GOLF R,2018,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 14057,Country 091,Claim Number 25004,GMC,YUKON,2017,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 8257,Country 090,Claim Number 15856,CHEVROLET,IMPALA,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5424,Country 092,Claim Number 10521,BMW,4 SERIES,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8699,Country 091,Claim Number 16066,LEXUS,ES350,2018,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7649,Country 129,Claim Number 14882,AUDI,S7,2017,2018,1. Saloon, 150K to 200K ,"-1,000.00 "
Policy Number 5629,Country 091,Claim Number 10588,BMW,4 SERIES,2018,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5562,Country 091,Claim Number 10603,BMW,7 SERIES,2018,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 7478,Country 022,Claim Number 14287,BMW,7 SERIES,2017,2017,1. Saloon, 150K to 200K ,"-1,000.00 "
Policy Number 5137,Country 053,Claim Number 9921,BMW,730Li,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5098,Country 091,Claim Number 9948,MERCEDES-BENZ,S500,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5016,Country 137,Claim Number 9916,BENTLEY,CONTINENTAL GT,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 7564,Country 069,Claim Number 14467,MERCEDES BENZ,C-CLASS,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5546,Country 091,Claim Number 10544,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7297,Country 091,Claim Number 14196,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8294,Country 054,Claim Number 15529,GMC,YUKON,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 14050,Country 062,Claim Number 24973,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 4123,Country 091,Claim Number 7808,BMW,X6,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5636,Country 133,Claim Number 10369,LAND ROVER,RANGE ROVER,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 14050,Country 062,Claim Number 24986,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 14050,Country 062,Claim Number 25007,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5018,Country 053,Claim Number 9370,GMC,YUKON,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4946,Country 053,Claim Number 9410,BMW,X5 35i,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4954,Country 053,Claim Number 9468,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5030,Country 129,Claim Number 9422,JEEP,GRAND CHEROKEE,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5088,Country 053,Claim Number 9625,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8201,Country 082,Claim Number 15415,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8207,Country 069,Claim Number 15404,GMC,ACADIA,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8164,Country 092,Claim Number 15422,GMC,ACADIA,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7353,Country 038,Claim Number 14273,FORD,EXPLORER,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8246,Country 053,Claim Number 15460,CHEVROLET,TRAVERSE,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7314,Country 122,Claim Number 14259,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7381,Country 117,Claim Number 14280,FORD,EXPLORER,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7300,Country 038,Claim Number 14283,CADILLAC,SRX,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5276,Country 120,Claim Number 9780,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7325,Country 095,Claim Number 14290,FORD,EXPLORER,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5125,Country 092,Claim Number 9839,TOYOTA,LANDCRUISER,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5139,Country 090,Claim Number 9825,LEXUS,RX 350,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5075,Country 128,Claim Number 9648,BMW,X4,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5055,Country 053,Claim Number 9930,FORD,EXPLORER,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5269,Country 091,Claim Number 9851,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5329,Country 091,Claim Number 9937,TOYOTA,LAND CRUISER,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5187,Country 053,Claim Number 9991,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5261,Country 053,Claim Number 9983,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7214,Country 118,Claim Number 14230,LEXUS,GX460,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 14325,Country 053,Claim Number 25359,LEXUS,LX570,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 4982,Country 002,Claim Number 9612,AUDI,Q7,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5356,Country 027,Claim Number 10048,LEXUS,LX570,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 8164,Country 062,Claim Number 15505,GMC,ACADIA,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7293,Country 091,Claim Number 14381,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5267,Country 056,Claim Number 9962,CADILLAC,ESCALADE,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5416,Country 053,Claim Number 10049,LAND ROVER,RANGE ROVER SPORT,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 7460,Country 053,Claim Number 14377,JEEP,WRANGLER,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5003,Country 053,Claim Number 9982,JEEP,GRAND CHEROKEE SRT8,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5266,Country 053,Claim Number 10091,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7258,Country 092,Claim Number 14431,JEEP,GRAND CHEROKEE,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7281,Country 092,Claim Number 14482,FORD,EXPEDITION,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5263,Country 038,Claim Number 9769,CADILLAC,XT5,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5018,Country 053,Claim Number 10013,GMC,YUKON,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5328,Country 038,Claim Number 9871,TOYOTA,LAND CRUISER,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5258,Country 053,Claim Number 10116,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7335,Country 053,Claim Number 14445,INFINITI,QX50,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5163,Country 062,Claim Number 10149,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5181,Country 092,Claim Number 10133,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7680,Country 091,Claim Number 14496,TOYOTA,FORTUNER,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7474,Country 091,Claim Number 14530,BMW,X5,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7399,Country 038,Claim Number 14548,FORD,EXPLORER,2017,2018,2. Four Wheel Drive, 75K to 100K ,"-1,000.00 "
Policy Number 7402,Country 122,Claim Number 14536,FORD,EXPLORER,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7511,Country 122,Claim Number 14537,NISSAN,PATHFINDER,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7479,Country 122,Claim Number 14435,JEEP,GRAND CHEROKEE,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8180,Country 062,Claim Number 15619,GMC,ACADIA,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8201,Country 062,Claim Number 15594,CHEVROLET,SILVERADO,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5302,Country 038,Claim Number 10273,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5138,Country 092,Claim Number 10202,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5138,Country 092,Claim Number 10202,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5306,Country 053,Claim Number 10307,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8236,Country 055,Claim Number 15657,GMC,YUKON,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 7281,Country 092,Claim Number 14678,FORD,EXPEDITION,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5148,Country 012,Claim Number 10317,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5162,Country 038,Claim Number 10143,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5047,Country 091,Claim Number 10265,LEXUS,RX 350,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7372,Country 091,Claim Number 14734,LAND ROVER,DISCOVERY,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5221,Country 091,Claim Number 10368,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5251,Country 095,Claim Number 10333,GMC,YUKON,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7402,Country 122,Claim Number 14751,FORD,EXPLORER,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7375,Country 053,Claim Number 14755,HONDA,PILOT,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5248,Country 062,Claim Number 10394,GMC,YUKON,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7455,Country 038,Claim Number 14770,LEXUS,GX460,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8258,Country 062,Claim Number 15753,CHEVROLET,CAPTIVA,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5349,Country 053,Claim Number 10406,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5218,Country 091,Claim Number 10443,LAND ROVER,RANGE ROVER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7444,Country 038,Claim Number 14756,INFINITI,QX60,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5170,Country 053,Claim Number 10000,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5575,Country 091,Claim Number 10385,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5512,Country 092,Claim Number 10451,LEXUS,LX570,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5290,Country 091,Claim Number 10497,CADILLAC,ESCALADE,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5387,Country 132,Claim Number 10439,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7460,Country 092,Claim Number 14849,JEEP,WRANGLER,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 14374,Country 055,Claim Number 25463,LEXUS,NX200,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 9701,Country 053,Claim Number 15962,NISSAN,PATROL,2018,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8312,Country 038,Claim Number 15608,MAZDA,CX9,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 14374,Country 055,Claim Number 25468,LEXUS,NX200,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5569,Country 122,Claim Number 10540,NISSAN,PATROL - L WHL,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 9742,Country 091,Claim Number 15988,LEXUS,GX460,2018,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5426,Country 062,Claim Number 10602,PORSCHE,CAYENNE S,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7242,Country 062,Claim Number 14165,TOYOTA,COROLLA,2017,2017,1. Saloon, 0 to 25K ,-350.00 
Policy Number 7304,Country 003,Claim Number 14213,FORD,FOCUS,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 14391,Country 136,Claim Number 25383,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 7301,Country 136,Claim Number 14216,NISSAN,ALTIMA,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 13419,Country 047,Claim Number 23251,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 13419,Country 047,Claim Number 23251,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 7431,Country 091,Claim Number 14480,NISSAN,TIIDA,2017,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 7210,Country 136,Claim Number 14510,DODGE,CHARGER,2017,2018,1. Saloon, 75K to 100K ,-350.00 
Policy Number 8338,Country 092,Claim Number 15597,FORD,ESCAPE,2017,2018,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 7259,Country 091,Claim Number 14395,AUDI,Q7,2017,2017,2. Four Wheel Drive, 75K to 100K ,-350.00 
Policy Number 7268,Country 091,Claim Number 14515,PORSCHE,CAYENNE,2017,2017,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 14425,Country 053,Claim Number 25429,FORD,FIGO,2018,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 8561,Country 053,Claim Number 15692,FORD,EDGE,2018,2018,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 8772,Country 091,Claim Number 15744,BMW,316 i,2018,2018,1. Saloon, 50K to 75K ,-350.00 
Policy Number 9384,Country 137,Claim Number 15903,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 0 to 25K ,-350.00 
Policy Number 13434,Country 053,Claim Number 23367,TOYOTA,YARIS,2017,2018,1. Saloon, 0 to 25K ,-350.00 
Policy Number 9546,Country 053,Claim Number 15895,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 9071,Country 091,Claim Number 16044,KIA,OPTIMA,2018,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 8821,Country 137,Claim Number 15832,MITSUBISHI,OUTLANDER,2018,2018,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 13417,Country 091,Claim Number 23388,NISSAN,SENTRA,2017,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 9872,Country 012,Claim Number 16105,TOYOTA,CAMRY,2018,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 10172,Country 091,Claim Number 16155,JEEP,CHEROKEE,2018,2018,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 7761,Country 091,Claim Number 14923,FORD,FUSION,2018,2018,1. Saloon, 0 to 25K ,-350.00 
Policy Number 9094,Country 091,Claim Number 16257,LINCOLN,MKZ,2018,2018,1. Saloon, 50K to 75K ,-350.00 
Policy Number 9535,Country 053,Claim Number 16227,CADILLAC,ATS,2018,2018,1. Saloon, 50K to 75K ,-350.00 
Policy Number 8766,Country 126,Claim Number 16222,VOLVO,XC 60,2018,2018,2. Four Wheel Drive, 0 to 25K ,-350.00 
Policy Number 9312,Country 053,Claim Number 16138,MITSUBISHI,PAJERO SPORT,2018,2018,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 14390,Country 091,Claim Number 25453,TOYOTA,YARIS,2017,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 9022,Country 053,Claim Number 16313,NISSAN,X TRAIL,2018,2018,2. Four Wheel Drive, 0 to 25K ,-350.00 
Policy Number 10063,Country 053,Claim Number 16411,VOLVO,XC60,2018,2018,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 10702,Country 053,Claim Number 16694,NISSAN,ALTIMA,2018,2018,1. Saloon, 25K to 50K ,-350.00 
Policy Number 7209,Country 053,Claim Number 14151,TOYOTA,YARIS HATCHBACK,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 7239,Country 053,Claim Number 14169,INFINITI,QX50,2017,2017,2. Four Wheel Drive, 100K to 150K ,-350.00 
Policy Number 7196,Country 091,Claim Number 14200,FORD,EXPLORER,2017,2017,2. Four Wheel Drive, 75K to 100K ,-350.00 
Policy Number 7231,Country 091,Claim Number 14205,TOYOTA,PRADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,-350.00 
Policy Number 14867,Country 038,Claim Number 26110,TOYOTA,YARIS SALOON,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 7199,Country 091,Claim Number 14319,TOYOTA,COROLLA,2017,2017,1. Saloon, 25K to 50K ,-350.00 
Policy Number 3195,Country 137,Claim Number 5014,MERCEDES-BENZ,G500,2017,2017,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 3195,Country 136,Claim Number 4816,MERCEDES-BENZ,G500,2017,2017,2. Four Wheel Drive, 50K to 75K ,-350.00 
